fips,pollutant,year,pred_wght,state_abbr,lat,lon
39035,pm25,2015,10.0917991358324,OH,41.4496244820416,-81.6759734562018
39037,pm25,2015,9.07514877414604,OH,40.1156117505995,-84.6082099322117
39039,pm25,2015,9.43373155109255,OH,41.2953978277019,-84.4491188103594
39041,pm25,2015,9.20652256362864,OH,40.2163507685949,-83.0132471471868
39043,pm25,2015,9.2087967873221,OH,41.4054820041775,-82.6279258825361
39045,pm25,2015,8.75176027655382,OH,39.7951136422726,-82.6670121199267
39047,pm25,2015,8.70742188563555,OH,39.5497181949707,-83.4438154943162
39049,pm25,2015,9.74000598595169,OH,39.9995821462523,-82.9932325851331
39051,pm25,2015,8.99859929223851,OH,41.5785014380065,-84.0947374654551
39053,pm25,2015,7.5566101351264,OH,38.8306309142044,-82.274100197194
39055,pm25,2015,8.37883301513026,OH,41.4896149953421,-81.2215286789665
39057,pm25,2015,9.02790353468711,OH,39.7264045719272,-83.996701892643
39059,pm25,2015,8.79580214807793,OH,40.0167891585801,-81.5418110983611
39061,pm25,2015,9.65778915240275,OH,39.1803324883409,-84.5085894858258
39063,pm25,2015,9.53906885694419,OH,41.0390541012543,-83.6419261520152
39065,pm25,2015,9.1114983168008,OH,40.6893866928692,-83.6758187410319
39067,pm25,2015,9.30901687153303,OH,40.3086363401412,-81.0506838250126
39069,pm25,2015,9.20655476058834,OH,41.3587021052632,-84.0769917526139
39071,pm25,2015,8.43036985202689,OH,39.220062407947,-83.5819070132373
39073,pm25,2015,7.98909710245065,OH,39.5221963955071,-82.446260010211
39075,pm25,2015,8.53966601496483,OH,40.5673948850493,-81.8727770429118
39077,pm25,2015,9.42090145339282,OH,41.1753756347902,-82.6143929762184
39079,pm25,2015,8.05568287915726,OH,39.0362666847254,-82.6106621610233
39081,pm25,2015,9.81853889512115,OH,40.3651108264356,-80.6942146580786
39083,pm25,2015,8.76057362682819,OH,40.3991286502191,-82.4546289276276
39085,pm25,2015,9.41391642163788,OH,41.6858897231363,-81.3192472202781
39087,pm25,2015,7.65981242081665,OH,38.5030197229784,-82.5407281184948
39089,pm25,2015,8.96467879003195,OH,40.0527095482065,-82.5157245819619
39091,pm25,2015,8.87794780409089,OH,40.3836777421606,-83.7795036133281
39093,pm25,2015,9.65114775398532,OH,41.3898709347084,-82.1123573667025
39095,pm25,2015,9.99315210642463,OH,41.6528037685457,-83.6153200746919
39097,pm25,2015,8.61480382019109,OH,39.9243767606769,-83.37992283412
39099,pm25,2015,9.9306145241455,OH,41.0495348073678,-80.6962858049685
39101,pm25,2015,9.29081773462053,OH,40.5820592006135,-83.1291502909731
39103,pm25,2015,8.70037575058608,OH,41.1440570549869,-81.8401222158392
39105,pm25,2015,7.61226205889777,OH,39.0609444467817,-82.0133424190156
39107,pm25,2015,9.15600569951487,OH,40.5172875459401,-84.6083561081982
39109,pm25,2015,9.15768805201647,OH,40.0469081419624,-84.2348865929799
39111,pm25,2015,8.06600202704549,OH,39.741288847152,-81.0652411897282
39113,pm25,2015,9.65450653852263,OH,39.7461505109754,-84.207559705729
39115,pm25,2015,8.14324369602763,OH,39.6166885213232,-81.8661580377308
39117,pm25,2015,8.56424920894708,OH,40.5188469750481,-82.7953471789129
39119,pm25,2015,9.01380371029579,OH,39.9612855484815,-81.9968864477078
39121,pm25,2015,8.50385928781154,OH,39.7716380744281,-81.4851372891772
39123,pm25,2015,8.94485746186154,OH,41.5317176136912,-83.0814800521386
39125,pm25,2015,9.10875530335475,OH,41.1322169164882,-84.5845545018864
39127,pm25,2015,8.54190574879361,OH,39.7541361029453,-82.2341478978313
39129,pm25,2015,8.55421045459442,OH,39.6665096951417,-82.9931561635965
39131,pm25,2015,7.65131486920478,OH,39.0839951199972,-83.0381988505347
39133,pm25,2015,8.95681332600252,OH,41.1794686815059,-81.2734597550474
39135,pm25,2015,9.21389491412349,OH,39.7437392784481,-84.6244742654365
39137,pm25,2015,9.07446597234702,OH,41.0082998666628,-84.1179887127163
39139,pm25,2015,9.14666931166901,OH,40.7623744719823,-82.5403817095802
39141,pm25,2015,8.37150616827219,OH,39.3406807081369,-83.0220969486575
39143,pm25,2015,9.71819120832239,OH,41.3410576480047,-83.102016915529
39145,pm25,2015,7.7606546273538,OH,38.7816294104328,-82.9454733355137
39147,pm25,2015,9.54353330795665,OH,41.1276021834523,-83.2013387382148
39149,pm25,2015,9.20443296076725,OH,40.3188701818991,-84.1921285089938
39151,pm25,2015,9.99364909152631,OH,40.83701263439,-81.3871350481647
39153,pm25,2015,9.40825454864604,OH,41.1129561618071,-81.5128773473045
39155,pm25,2015,9.72416037805736,OH,41.240415747556,-80.7598378100156
39157,pm25,2015,9.59487425255449,OH,40.4795549523665,-81.4653232550604
39159,pm25,2015,8.82104378107075,OH,40.2522186290631,-83.3501450267686
39161,pm25,2015,9.46985302706652,OH,40.8563544252714,-84.5655277657946
39163,pm25,2015,7.565624112393,OH,39.2401017045032,-82.5036829698549
39165,pm25,2015,9.43115128532674,OH,39.4242904693619,-84.245115934704
39167,pm25,2015,8.37723360500502,OH,39.4125094710091,-81.5125951487585
39169,pm25,2015,8.85738852331471,OH,40.8385450803353,-81.8643116625917
39171,pm25,2015,9.27286280325169,OH,41.5336939323097,-84.5730416555975
39173,pm25,2015,9.67162836980428,OH,41.4482808204769,-83.6010122951995
39175,pm25,2015,9.21392138890117,OH,40.8659568604908,-83.2981688127349
40001,pm25,2015,7.45130550985319,OK,35.887524264868,-94.6357364854737
40003,pm25,2015,7.41324147288196,OK,36.6606263381779,-98.3185285891528
40005,pm25,2015,8.02534912917783,OK,34.3244545691722,-96.0901821534339
40007,pm25,2015,5.80485092086586,OK,36.8182289567069,-100.616563697658
40009,pm25,2015,6.63991527103395,OK,35.3613906505719,-99.5123859035219
40011,pm25,2015,7.47387138239973,OK,35.8848134807,-98.4206823997321
40013,pm25,2015,8.37662381931347,OK,33.977293165315,-96.3837945327235
40015,pm25,2015,7.30639211047297,OK,35.1472271891892,-98.3386046081081
40017,pm25,2015,7.65730963406929,OK,35.4912540552704,-97.7811662743096
40019,pm25,2015,8.81595218222344,OK,34.1920744222722,-97.2046083710074
40021,pm25,2015,7.15359022644561,OK,35.9001684082831,-94.9941726626514
40023,pm25,2015,8.77926351857941,OK,34.0202469385071,-95.5335622558369
40025,pm25,2015,5.60124554747475,OK,36.7291842424242,-102.485295757576
40027,pm25,2015,7.99947002377275,OK,35.2666283224179,-97.4470754741843
40029,pm25,2015,8.07853783459916,OK,34.5464530970464,-96.2780309535865
40031,pm25,2015,8.03205494947541,OK,34.6292136924044,-98.4216292252897
40033,pm25,2015,7.95713444372679,OK,34.3077921362829,-98.3322127401905
40035,pm25,2015,8.15053235345,OK,36.6756672765986,-95.1538089493646
40037,pm25,2015,7.66579251004045,OK,35.9744234724942,-96.2338028813584
40039,pm25,2015,7.42980299719684,OK,35.5474042957516,-98.8394960391714
40041,pm25,2015,6.94806928869284,OK,36.4630167184901,-94.794991083954
40043,pm25,2015,6.31183826403326,OK,36.0524325779626,-99.0633388149688
40045,pm25,2015,6.20754657191038,OK,36.2659978559383,-99.7841417248856
40047,pm25,2015,7.8382795932651,OK,36.3981670947507,-97.8837892423242
40049,pm25,2015,8.92058676167682,OK,34.735647262112,-97.288736343197
40051,pm25,2015,7.46548452194313,OK,35.0995258434895,-97.8617786462207
40053,pm25,2015,7.35828986304396,OK,36.7626280318091,-97.7740706428098
40055,pm25,2015,6.33482665010418,OK,34.9152166372816,-99.4594052893092
40057,pm25,2015,6.25235616358658,OK,34.6947624914442,-99.8979983230664
40059,pm25,2015,6.59232940841248,OK,36.7715164721845,-99.7574376662144
40061,pm25,2015,7.98039432610228,OK,35.2378016132822,-95.1215892082387
40063,pm25,2015,8.4203220645576,OK,35.0819581661073,-96.3207491751767
40065,pm25,2015,7.28424551236482,OK,34.6534029040309,-99.3359097935416
40067,pm25,2015,8.48717896477132,OK,34.1281167490729,-97.8661268386897
40069,pm25,2015,7.75435502144748,OK,34.2639371178242,-96.6545316966323
40071,pm25,2015,7.98920977750097,OK,36.745201350887,-97.1285581568661
40073,pm25,2015,7.51629481176001,OK,35.9153289676733,-97.9124192363975
40075,pm25,2015,7.08862496188863,OK,34.9363595596019,-99.0154660702943
40077,pm25,2015,7.85381152232383,OK,34.883191662184,-95.2584612963959
40079,pm25,2015,8.16258202921562,OK,35.0618538802001,-94.6411550948714
40081,pm25,2015,7.40260950923467,OK,35.6590264172964,-96.8822763691536
40083,pm25,2015,7.27078242018734,OK,35.8328338247945,-97.4399875740776
40085,pm25,2015,8.04230575825109,OK,33.9275972726308,-97.1717186777035
40087,pm25,2015,7.42231139425028,OK,35.0921717846172,-97.5151104329682
40089,pm25,2015,8.27335986455914,OK,34.0011915387168,-94.816429214805
40091,pm25,2015,7.8736774269208,OK,35.3854895417737,-95.5800774639542
40093,pm25,2015,7.05653997210044,OK,36.3019309419423,-98.4216930782516
40095,pm25,2015,7.96896117550505,OK,34.0206312436869,-96.7544404734848
40097,pm25,2015,7.80767544656923,OK,36.2929132310526,-95.235525863448
40099,pm25,2015,8.10434221085409,OK,34.5070273576512,-97.0289085186833
40101,pm25,2015,8.5646681204395,OK,35.7099697548951,-95.3683591393154
40103,pm25,2015,7.65883889628925,OK,36.3228246518467,-97.23371396073
